name,entity_type,province,source_url,rank
Bãi Đá Đen,Beaches,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d8599661-Reviews-Bai_Da_Den-Da_Nang.html,92
Jang Mi Spa & Massage Da Nang,Spas,Da Nang,https://www.tripadvisor.com/Attraction_Review-g25197573-d17726699-Reviews-Jang_Mi_Spa_Massage_Da_Nang-An_Hai_Son_Tra_Peninsula_Da_Nang.html,93
ADM Club,Bars & Clubs,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d25430827-Reviews-ADM_Club-Da_Nang.html,94
SKY36,Bars & Clubs • Dance Clubs & Discos,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d7021088-Reviews-SKY36-Da_Nang.html,95
Koi Spa & Wellness Da Nang,Spas,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d32989184-Reviews-Koi_Spa_Wellness_Da_Nang-Da_Nang.html,97
Phong Nam Ancient Village,Historic Walking Areas,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d11964991-Reviews-Phong_Nam_Ancient_Village-Da_Nang.html,98
Danang Art Studio & Class,Art Galleries,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d25569217-Reviews-Danang_Art_Studio_Class-Da_Nang.html,99
SEN Boutique Spa,Spas,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d14111536-Reviews-SEN_Boutique_Spa-Da_Nang.html,100
Museum of Sa Huynh & Champa Culture,Speciality Museums,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d6429186-Reviews-Museum_of_Sa_Huynh_Champa_Culture-Da_Nang.html,101
Da Nang Fresco Village,Points of Interest & Landmarks,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d15592651-Reviews-Da_Nang_Fresco_Village-Da_Nang.html,102
Mikazuki Water Park 365,Water Parks,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d33304009-Reviews-Mikazuki_Water_Park_365-Da_Nang.html,103
Montgomerie Links,Golf Courses,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d1954172-Reviews-Montgomerie_Links-Da_Nang.html,104
Pam Spa,Spas,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d32988758-Reviews-Pam_Spa-Da_Nang.html,105
Xiaomi Đà Nẵng,Shopping Malls,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d26504716-Reviews-Xiaomi_Da_N_ng-Da_Nang.html,106
Dahan Spa Danang Luxury,Spas,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d21359483-Reviews-Dahan_Spa_Danang_Luxury-Da_Nang.html,107
Vietnam Cultural Exchange,Art Galleries,Da Nang,https://www.tripadvisor.com/Attraction_Review-g17786366-d19419685-Reviews-Vietnam_Cultural_Exchange-Son_Tra_Peninsula_Da_Nang.html,108
Suoi Hoa Ecotourism Area,Nature & Wildlife Areas,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d8146023-Reviews-Suoi_Hoa_Ecotourism_Area-Da_Nang.html,109
Riverside Park,Parks,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d12110597-Reviews-Riverside_Park-Da_Nang.html,110
Jang Mi Spa Massage Da Nang Riverside,Spas,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d10818194-Reviews-Jang_Mi_Spa_Massage_Da_Nang_Riverside-Da_Nang.html,111
Helio Center,Game & Entertainment Centers,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d10530887-Reviews-Helio_Center-Da_Nang.html,112
Danang Penguin Liferia Coffee & Massage,Thermal Spas,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d15059777-Reviews-Danang_Penguin_Liferia_Coffee_Massage-Da_Nang.html,113
Sky 21 Bar,Bars & Clubs,Da Nang,https://www.tripadvisor.com/Attraction_Review-g17786366-d12878841-Reviews-Sky_21_Bar-Son_Tra_Peninsula_Da_Nang.html,114
Golden Lotus Spa DaNang,Spas,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d15300780-Reviews-Golden_Lotus_Spa_DaNang-Da_Nang.html,115
Tourane Spa & Nails,Spas,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d19881340-Reviews-Tourane_Spa_Nails-Da_Nang.html,116
YHI Spa,Spas,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d10634574-Reviews-YHI_Spa-Da_Nang.html,117
Club99,Casinos,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d9806394-Reviews-Club99-Da_Nang.html,118
Cham Spa & Massage,Spas • Thermal Spas,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d7927889-Reviews-Cham_Spa_Massage-Da_Nang.html,119
Hoa Phu Thanh Play Ground,Game & Entertainment Centers,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d12292790-Reviews-Hoa_Phu_Thanh_Play_Ground-Da_Nang.html,120
Sontra mini Mart 24h,Speciality & Gift Shops,Da Nang,https://www.tripadvisor.com/Attraction_Review-g15339118-d28050884-Reviews-Sontra_mini_Mart_24h-Tho_Quang_Son_Tra_Peninsula_Da_Nang.html,121
Jolie Cooking Class,Cooking Classes,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d15224275-Reviews-Jolie_Cooking_Class-Da_Nang.html,122
Nha Tho Giao Xu An Hai,Churches & Cathedrals,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d17663078-Reviews-Nha_Tho_Giao_Xu_An_Hai-Da_Nang.html,123
DaNang Apron Up Cooking Class,Cooking Classes,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d27515632-Reviews-DaNang_Apron_Up_Cooking_Class-Da_Nang.html,124
Sơn Trà Marina,Marinas,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d26155855-Reviews-Son_Tra_Marina-Da_Nang.html,125
Vietnamese Inker,Art Galleries,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d33006702-Reviews-Vietnamese_Inker-Da_Nang.html,126
Rintage X Lamer Vintage Store Đà Nẵng,Shopping Malls,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d27734354-Reviews-Rintage_X_Lamer_Vintage_Store_Da_N_ng-Da_Nang.html,127
Forest Spa_Da Nang,Spas,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d27098173-Reviews-Forest_Spa_Da_Nang-Da_Nang.html,128
XuXi Fruit - Fresh Everyday,Speciality & Gift Shops • Department Stores,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d33733462-Reviews-XuXi_Fruit_Fresh_Everyday-Da_Nang.html,129
Taseco Travel,Visitor Centers,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d8324034-Reviews-Taseco_Travel-Da_Nang.html,130
Dragon Spa DaNang,Spas • Thermal Spas,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d24191320-Reviews-Dragon_Spa_DaNang-Da_Nang.html,131
The Be Leather Hoi An,Shopping Malls,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d34471652-Reviews-The_Be_Leather_Hoi_An-Da_Nang.html,132
Khu Vui Choi Đo Re Mi,Amusement & Theme Parks,Da Nang,https://www.tripadvisor.com/Attraction_Review-g10487549-d15589387-Reviews-Khu_Vui_Choi_Do_Re_Mi-Dien_Ban_Da_Nang.html,133
Cay Da Dai Thu (800 Year Ficus),Points of Interest & Landmarks,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d12841991-Reviews-Cay_Da_Dai_Thu_800_Year_Ficus-Da_Nang.html,134
Paul Bespoke Tailor,Speciality & Gift Shops,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d9553001-Reviews-Paul_Bespoke_Tailor-Da_Nang.html,135
BDC basketball centre,Sports Complexes,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d12952637-Reviews-BDC_basketball_centre-Da_Nang.html,136
Tran Thi Ly Bridge,Bridges,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d14928541-Reviews-Tran_Thi_Ly_Bridge-Da_Nang.html,137
Binny Duck Lake And Farm,Farms • Cultural Events,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d34466216-Reviews-Binny_Duck_Lake_And_Farm-Da_Nang.html,138
Brocanvas,Art Galleries,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d15693064-Reviews-Brocanvas-Da_Nang.html,139
Da Nang Car Rental,Taxis & Shuttles,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d12292804-Reviews-Da_Nang_Car_Rental-Da_Nang.html,140
Liti Nail & Hair 5,Spas • Thermal Spas,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d28151851-Reviews-Liti_Nail_Hair_5-Da_Nang.html,141
Ariyana Convention Centre,Convention Centers,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d19849875-Reviews-Ariyana_Convention_Centre-Da_Nang.html,142
Let's Win Poker Club,Casinos,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d33018984-Reviews-Let_s_Win_Poker_Club-Da_Nang.html,143
Holie Water Park,Water Parks,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d27900965-Reviews-Holie_Water_Park-Da_Nang.html,144
Green Spa and Wellness,Spas • Thermal Spas,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d11835858-Reviews-Green_Spa_and_Wellness-Da_Nang.html,145
Nguồn Spa - Gội Đầu Dưỡng Sinh Đà Nẵng,Spas,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d26876449-Reviews-Ngu_n_Spa_G_i_D_u_Du_ng_Sinh_Da_N_ng-Da_Nang.html,146
Danang Land Paradise,Amusement & Theme Parks • Scenic Walking Areas,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d34497120-Reviews-Danang_Land_Paradise-Da_Nang.html,147
Tang Chon Grotto,Caverns & Caves,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d13384420-Reviews-Tang_Chon_Grotto-Da_Nang.html,148
"Han River,",Bodies of Water,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d25236833-Reviews-Han_River-Da_Nang.html,149
Hana 34 Vintage Jewelry,Speciality & Gift Shops • Antique Shops,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d32859514-Reviews-Hana_34_Vintage_Jewelry-Da_Nang.html,150
The Motorbike Station,Gear Rentals,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d12598185-Reviews-The_Motorbike_Station-Da_Nang.html,151
Namaka Jewelry,Speciality & Gift Shops,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d10063911-Reviews-Namaka_Jewelry-Da_Nang.html,152
Karma Spa,Spas,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d15828798-Reviews-Karma_Spa-Da_Nang.html,153
OASIS ART GALLERY,Art Galleries,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d6684700-Reviews-OASIS_ART_GALLERY-Da_Nang.html,154
SOUL Spa,Spas • Thermal Spas,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d26307523-Reviews-SOUL_Spa-Da_Nang.html,155
Cho Ha Than,Flea & Street Markets,Da Nang,https://www.tripadvisor.com/Attraction_Review-g17786366-d25237434-Reviews-Cho_Ha_Than-Son_Tra_Peninsula_Da_Nang.html,156
Platinum Poker Đà Nẵng,Casinos,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d33318346-Reviews-Platinum_Poker_Da_N_ng-Da_Nang.html,157
Zade Tourist Zone,Visitor Centers,Da Nang,https://www.tripadvisor.com/Attraction_Review-g298085-d32971666-Reviews-Zade_Tourist_Zone-Da_Nang.html,158
